dpto,muni,Municipio_residencia
AMAZONAS,EL ENCANTO,EL ENCANTO
AMAZONAS,LA CHORRERA,LA CHORRERA
AMAZONAS,LA PEDRERA,LA PEDRERA (CD)
AMAZONAS,LA VICTORIA,LA VICTORIA
AMAZONAS,LETICIA,LETICIA
AMAZONAS,MIRITÍ - PARANÁ,MIRITI - PARANA
AMAZONAS,PUERTO ALEGRÍA,PUERTO ALEGRIA
AMAZONAS,PUERTO ARICA,PUERTO ARICA
AMAZONAS,PUERTO NARIÑO,PUERTO NARIÑO
AMAZONAS,PUERTO SANTANDER,PUERTO SANTANDER
AMAZONAS,TARAPACÁ,TARAPACA (CD)
ANTIOQUIA,ABEJORRAL,ABEJORRAL
ANTIOQUIA,ABRIAQUÍ,ABRIAQUI
ANTIOQUIA,ALEJANDRÍA,ALEJANDRIA
ANTIOQUIA,AMAGÁ,AMAGA
ANTIOQUIA,AMALFI,AMALFI
ANTIOQUIA,ANDES,ANDES
ANTIOQUIA,ANGELÓPOLIS,ANGELOPOLIS
ANTIOQUIA,ANGOSTURA,ANGOSTURA
ANTIOQUIA,ANORÍ,ANORI
ANTIOQUIA,ANZÁ,ANZA
ANTIOQUIA,APARTADÓ,APARTADO
ANTIOQUIA,ARBOLETES,ARBOLETES
ANTIOQUIA,ARGELIA,ARGELIA
ANTIOQUIA,ARMENIA,ARMENIA
ANTIOQUIA,BARBOSA,BARBOSA
ANTIOQUIA,BELLO,BELLO
ANTIOQUIA,BELMIRA,BELMIRA
ANTIOQUIA,BETANIA,BETANIA
ANTIOQUIA,BETULIA,BETULIA
ANTIOQUIA,BRICEÑO,BRICENO
ANTIOQUIA,BURITICÁ,BURITICA
ANTIOQUIA,CÁCERES,CACERES
ANTIOQUIA,CAICEDO,CAICEDO
ANTIOQUIA,CALDAS,CALDAS
ANTIOQUIA,CAMPAMENTO,CAMPAMENTO
ANTIOQUIA,CAÑASGORDAS,CAÑASGORDAS
ANTIOQUIA,CARACOLÍ,CARACOLI
ANTIOQUIA,CARAMANTA,CARAMANTA
ANTIOQUIA,CAREPA,CAREPA
ANTIOQUIA,CAROLINA,CAROLINA
ANTIOQUIA,CAUCASIA,CAUCASIA
ANTIOQUIA,CHIGORODÓ,CHIGORODO
ANTIOQUIA,CISNEROS,CISNEROS
ANTIOQUIA,CIUDAD BOLÍVAR,BOLIVAR
ANTIOQUIA,COCORNÁ,COCORNA
ANTIOQUIA,CONCEPCIÓN,CONCEPCION
ANTIOQUIA,CONCORDIA,CONCORDIA
ANTIOQUIA,COPACABANA,COPACABANA
ANTIOQUIA,DABEIBA,DABEIBA
ANTIOQUIA,DONMATÍAS,DON MATIAS
ANTIOQUIA,EBÉJICO,EBEJICO
ANTIOQUIA,EL BAGRE,EL BAGRE
ANTIOQUIA,EL CARMEN DE VIBORAL,CARMEN DE VIBORAL
ANTIOQUIA,EL SANTUARIO,SANTUARIO
ANTIOQUIA,ENTRERRÍOS,ENTRERRIOS
ANTIOQUIA,ENVIGADO,ENVIGADO
ANTIOQUIA,FREDONIA,FREDONIA
ANTIOQUIA,FRONTINO,FRONTINO
ANTIOQUIA,GIRALDO,GIRALDO
ANTIOQUIA,GIRARDOTA,GIRARDOTA
ANTIOQUIA,GÓMEZ PLATA,GOMEZ PLATA
ANTIOQUIA,GRANADA,GRANADA
ANTIOQUIA,GUADALUPE,GUADALUPE
ANTIOQUIA,GUARNE,GUARNE
ANTIOQUIA,GUATAPÉ,GUATAPE
ANTIOQUIA,HELICONIA,HELICONIA
ANTIOQUIA,HISPANIA,HISPANIA
ANTIOQUIA,ITAGÜÍ,ITAGUI
ANTIOQUIA,ITUANGO,ITUANGO
ANTIOQUIA,JARDÍN,JARDIN
ANTIOQUIA,JERICÓ,JERICO
ANTIOQUIA,LA CEJA,LA CEJA
ANTIOQUIA,LA ESTRELLA,LA ESTRELLA
ANTIOQUIA,LA PINTADA,LA PINTADA
ANTIOQUIA,LA UNIÓN,LA UNION
ANTIOQUIA,LIBORINA,LIBORINA
ANTIOQUIA,MACEO,MACEO
ANTIOQUIA,MARINILLA,MARINILLA
ANTIOQUIA,MEDELLÍN,MEDELLIN
ANTIOQUIA,MONTEBELLO,MONTEBELLO
ANTIOQUIA,MURINDÓ,MURINDO
ANTIOQUIA,MUTATÁ,MUTATA
ANTIOQUIA,NARIÑO,NARIÑO
ANTIOQUIA,NECHÍ,NECHI
ANTIOQUIA,NECOCLÍ,NECOCLI
ANTIOQUIA,OLAYA,OLAYA
ANTIOQUIA,PEÑOL,PEÑOL
ANTIOQUIA,PEQUE,PEQUE
ANTIOQUIA,PUEBLORRICO,PUEBLORRICO
ANTIOQUIA,PUERTO BERRÍO,PUERTO BERRIO
ANTIOQUIA,PUERTO NARE,PUERTO NARE (LA MAGDALENA )
ANTIOQUIA,PUERTO TRIUNFO,PUERTO TRIUNFO
ANTIOQUIA,REMEDIOS,REMEDIOS
ANTIOQUIA,RETIRO,RETIRO
ANTIOQUIA,RIONEGRO,RIONEGRO
ANTIOQUIA,SABANALARGA,SABANALARGA
ANTIOQUIA,SABANETA,SABANETA
ANTIOQUIA,SALGAR,SALGAR
ANTIOQUIA,SAN ANDRÉS DE CUERQUÍA,SAN ANDRES
ANTIOQUIA,SAN CARLOS,SAN CARLOS
ANTIOQUIA,SAN FRANCISCO,SAN FRANCISCO
ANTIOQUIA,SAN JERÓNIMO,SAN JERONIMO
ANTIOQUIA,SAN JOSÉ DE LA MONTAÑA,SAN JOSE DE LA MONTANA
ANTIOQUIA,SAN JUAN DE URABÁ,SAN JUAN DE URABA
ANTIOQUIA,SAN LUIS,SAN LUIS
ANTIOQUIA,SAN PEDRO DE LOS MILAGROS,SAN PEDRO
ANTIOQUIA,SAN PEDRO DE URABÁ,SAN PEDRO DE URABA
ANTIOQUIA,SAN RAFAEL,SAN RAFAEL
ANTIOQUIA,SAN ROQUE,SAN ROQUE
ANTIOQUIA,SAN VICENTE FERRER,SAN VICENTE
ANTIOQUIA,SANTA BÁRBARA,SANTA BARBARA
ANTIOQUIA,SANTA FÉ DE ANTIOQUIA,SANTA FE DE ANTIOQUIA
ANTIOQUIA,SANTA ROSA DE OSOS,SANTA ROSA DE OSOS
ANTIOQUIA,SANTO DOMINGO,SANTO DOMINGO
ANTIOQUIA,SEGOVIA,SEGOVIA
ANTIOQUIA,SONSÓN,SONSON
ANTIOQUIA,SOPETRÁN,SOPETRAN
ANTIOQUIA,TÁMESIS,TAMESIS
ANTIOQUIA,TARAZÁ,TARAZA
ANTIOQUIA,TARSO,TARSO
ANTIOQUIA,TITIRIBÍ,TITIRIBI
ANTIOQUIA,TOLEDO,TOLEDO
ANTIOQUIA,TURBO,TURBO
ANTIOQUIA,URAMITA,URAMITA
ANTIOQUIA,URRAO,URRAO
ANTIOQUIA,VALDIVIA,VALDIVIA
ANTIOQUIA,VALPARAÍSO,VALPARAISO
